id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012,num_establishments_2007,value_x1000_2007,payroll_x1000_2007,num_employees_2007,num_establishments_2002,value_x1000_2002,payroll_x1000_2002,num_employees_2002
167,3371,Household and institutional furniture and kitchen cabinet manufacturing,51,83874,14671,701,60,72580,13340,903,145,118856,22513,1788,154,90265,21805,2228
168,33711,Wood kitchen cabinet and countertop manufacturing,51,83874,14671,701,35,19210,5030,400,78,53475,10870,908,75,24103,8168,573
169,33712,Household and institutional furniture manufacturing,51,83874,14671,701,25,53370,8310,503,67,65380,11643,880,79,66162,13637,1655
170,3372,Office furniture (including fixtures) manufacturing,51,83874,14671,701,9,21510,3810,226,21,33431,7173,358,16,20779,3432,322
171,3379,Other furniture related product manufacturing,51,83874,14671,701,12,15957,2066,135,18,15375,2579,186,13,20575,3398,234
172,339,Miscellaneous manufacturing,51,83874,14671,701,109,9085080,565682,16467,135,7360346,503123,17360,138,3236732,383915,18527
173,3391,Medical equipment and supplies manufacturing,51,83874,14671,701,70,8832408,537679,15666,81,7287289,481989,16365,81,2982585,343164,16241
174,33911,Medical equipment and supplies manufacturing,51,83874,14671,701,70,8832408,537679,15666,81,7287289,481989,16365,81,2982585,343164,16241
175,3399,Other miscellaneous manufacturing,51,83874,14671,701,39,252672,28004,802,54,73056,21134,994,57,254147,40751,2286
176,33991,Jewelry and silverware manufacturing,51,83874,14671,701,5,6892,1401,60,10,36699,11000,493,15,93461,14047,684
177,33993,"Doll, toy, and game manufacturing",51,83874,14671,701,2,n/d,n/d,n/d,5,2355,495,42,1,n/d,n/d,n/d
178,33994,Office supplies (except paper) manufacturing,51,83874,14671,701,5,571,162,15,4,1137,446,21,5,58540,7501,615
179,33995,Sign manufacturing,51,83874,14671,701,21,38720,8637,401,30,29207,8201,397,23,n/d,n/d,n/d
180,42,Wholesale trade,51,83874,14671,701,1988,20184374,1120124,31462,2229,27540009,1218670,36107,2313,16172710,1009360,39316
