id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
303,4243,"Apparel, piece goods, and notions merchant wholesalers",87,146843,15851,887,97,148663,17958,944
304,42431,"Piece goods, notions, and other dry goods merchant wholesalers",13,16448,2236,103,17,16224,2243,116
305,42432,Men's and boys' clothing and furnishings merchant wholesalers,14,30398,2840,118,15,49870,2868,108
306,42433,"Women's, children's, and infants' clothing and accessories merchant wholesalers",45,32804,5854,449,52,72468,10733,622
307,42434,Footwear merchant wholesalers,15,67193,4919,218,13,10102,2114,99
308,4244,Grocery and related product merchant wholesalers,297,4483650,270013,7863,304,3695342,249669,8200
309,42441,General line grocery merchant wholesalers,108,1273737,85028,2336,81,1606493,68141,2310
310,42442,Packaged frozen food merchant wholesalers,23,610252,30874,1023,17,176992,16942,557
311,42443,Dairy product (except dried or canned) merchant wholesalers,8,26597,2680,140,11,69286,7484,295
312,42444,Poultry and poultry product merchant wholesalers,3,5791,113,5,n/d,n/d,n/d,n/d
313,42445,Confectionery merchant wholesalers,15,239128,18936,356,20,237917,15216,435
314,42446,Fish and seafood merchant wholesalers,5,78678,3754,104,5,59217,3438,110
315,42447,Meat and meat product merchant wholesalers,13,100370,7778,403,15,319721,18531,645
316,42448,Fresh fruit and vegetable merchant wholesalers,35,1049720,18852,739,33,268992,18147,828
317,42449,Other grocery and related products merchant wholesalers,87,1099378,101999,2758,121,954513,100887,2995
318,4245,Farm product raw material merchant wholesalers,4,3148,190,12,6,3252,223,17
319,4246,Chemical and allied products merchant wholesalers,66,423237,40391,928,85,509548,42664,991
320,42461,Plastics materials and basic forms and shapes merchant wholesalers,12,58850,3730,116,22,60893,4906,166
321,42469,Other chemical and allied products merchant wholesalers,54,364387,36661,813,63,448656,37757,825
322,4247,Petroleum and petroleum products merchant wholesalers,65,3705959,46864,1120,54,3674772,31151,672
323,42471,Petroleum bulk stations and terminals,42,2324513,27446,680,n/d,n/d,n/d,n/d
